First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Fredy,Miller,AB180700C,2022 to 2023,698.32
Alexie,Orn,AB731097C,2022 to 2023,502.73
Shanelle,Hoeger,AB122104C,2022 to 2023,447.13
Jackie,Gusikowski,AB503290C,2022 to 2023,491.83
Dave,Green,AB863966C,2022 to 2023,262.31
Howell,Lakin,AB968841C,2022 to 2023,482.18
Hilton,Hilll,AB482634C,2022 to 2023,954.59
Trevor,Dickinson,AB731203C,2022 to 2023,196.56
Anderson,Auer,AB876214C,2022 to 2023,995.17
Gloria,DuBuque,AB172959C,2022 to 2023,60.94
Joesph,Ankunding,AB789238C,2022 to 2023,706.98
Madeline,Wiegand,AB734011C,2022 to 2023,160.37
Judah,Kutch,AB705401C,2022 to 2023,396.40
Ozella,McKenzie,AB834357C,2022 to 2023,503.73
Corrine,Morissette,AB135079C,2022 to 2023,736.67
Frank,Kris,AB185707C,2022 to 2023,822.61
Icie,Emmerich,AB782790C,2022 to 2023,190.15
Marion,Hintz,AB505185C,2022 to 2023,459.32
Abraham,Mann,AB772018C,2022 to 2023,270.92
Jewel,Gislason,AB622105C,2022 to 2023,645.50
Garnett,McDermott,AB630845C,2022 to 2023,565.30
Nettie,Mueller,AB196197C,2022 to 2023,953.28
Isabelle,Balistreri,AB795289C,2022 to 2023,575.33
Brionna,Fritsch,AB658797C,2022 to 2023,394.27
Jacques,Ryan,AB833926C,2022 to 2023,373.22
Ewald,Koepp,AB601434C,2022 to 2023,385.19
Arvel,Waelchi,AB971824C,2022 to 2023,735.94
Carmela,Hessel,AB812288C,2022 to 2023,953.24
Miguel,Jones,AB103212C,2022 to 2023,230.91
Chesley,O'Conner,AB358014C,2022 to 2023,854.16
Velva,Sanford,AB750493C,2022 to 2023,670.69
Elouise,Trantow,AB341313C,2022 to 2023,197.55
Shanelle,Bashirian,AB110757C,2022 to 2023,487.64
Lavada,Kovacek,AB971143C,2022 to 2023,462.17
Landen,King,AB574048C,2022 to 2023,185.44
Vincent,Smith,AB928340C,2022 to 2023,351.75
Jewel,Ernser,AB815896C,2022 to 2023,35.84
Bruce,Brakus,AB921743C,2022 to 2023,691.24
Kristina,Douglas,AB146732C,2022 to 2023,621.95
Blair,Kirlin,AB498048C,2022 to 2023,444.85
Darby,Botsford,AB783257C,2022 to 2023,720.79
Torrance,Klein,AB967399C,2022 to 2023,862.09
Autumn,West,AB298753C,2022 to 2023,938.73
Hildegard,Dooley,AB548921C,2022 to 2023,295.58
Jerrod,Upton,AB994606C,2022 to 2023,442.40
Reymundo,Cummings,AB526305C,2022 to 2023,837.50
Serenity,Reichel,AB617722C,2022 to 2023,403.21
Vernice,Frami,AB446747C,2022 to 2023,155.92
Edd,Stracke,AB531555C,2022 to 2023,782.64
Edmund,Kiehn,AB545359C,2022 to 2023,854.56
Mozell,Kshlerin,AB267348C,2022 to 2023,113.04
Wilton,Gibson,AB794492C,2022 to 2023,304.80
Maegan,Labadie,AB834815C,2022 to 2023,318.00
Bradly,Cremin,AB506475C,2022 to 2023,113.01
Elza,Altenwerth,AB106092C,2022 to 2023,81.73
Camila,Shanahan,AB667602C,2022 to 2023,737.21
Valentin,Beatty,AB983580C,2022 to 2023,141.31
Sonya,Torp,AB891402C,2022 to 2023,359.84
Maud,Cummings,AB291562C,2022 to 2023,860.97
Buddy,Bogisich,AB967099C,2022 to 2023,166.24
Katlyn,Pfannerstill,AB503082C,2022 to 2023,705.92
Randi,Connelly,AB854058C,2022 to 2023,891.75
Jane,Sporer,AB766015C,2022 to 2023,270.97
Ernie,Borer,AB646006C,2022 to 2023,521.78
Jordy,Grimes,AB609640C,2022 to 2023,225.30
Maegan,Sipes,AB296328C,2022 to 2023,921.74
Brielle,Reynolds,AB283680C,2022 to 2023,169.98
Elroy,Nader,AB179368C,2022 to 2023,509.36
Angelina,Sauer,AB721754C,2022 to 2023,471.28
Mckenzie,Schuster,AB329179C,2022 to 2023,389.56
Sophia,Grimes,AB735966C,2022 to 2023,327.05
Frederik,Hintz,AB328073C,2022 to 2023,309.95
Shea,Brakus,AB892820C,2022 to 2023,739.22
Rudy,Christiansen,AB321033C,2022 to 2023,931.84
Ramon,Rosenbaum,AB282754C,2022 to 2023,7.52
Kayla,Leuschke,AB159956C,2022 to 2023,833.47
Kaylee,Gutmann,AB778737C,2022 to 2023,177.76
Jaiden,Metz,AB460555C,2022 to 2023,482.42
Ethelyn,Marvin,AB432499C,2022 to 2023,745.79
Oren,Howe,AB883197C,2022 to 2023,784.66
Holden,Douglas,AB278185C,2022 to 2023,861.96
Rebekah,Krajcik,AB133662C,2022 to 2023,391.71
Esta,Heidenreich,AB353761C,2022 to 2023,69.08
Serenity,Hartmann,AB678864C,2022 to 2023,395.48
Kaylin,Waelchi,AB973673C,2022 to 2023,834.46
Beulah,Herman,AB192126C,2022 to 2023,712.23
Meta,Harvey,AB135046C,2022 to 2023,201.07
Vernice,Goldner,AB127413C,2022 to 2023,629.06
Travis,Schroeder,AB438786C,2022 to 2023,523.89
Annamarie,Kreiger,AB695148C,2022 to 2023,793.28
Lionel,Beahan,AB583853C,2022 to 2023,577.38
Khalil,Turcotte,AB194161C,2022 to 2023,50.60
Destiney,Jacobi,AB127481C,2022 to 2023,838.90
Eldridge,Casper,AB702114C,2022 to 2023,692.56
Romaine,Terry,AB380433C,2022 to 2023,151.71
Royce,Altenwerth,AB356373C,2022 to 2023,16.64
Haley,Halvorson,AB446194C,2022 to 2023,168.25
Pink,Bogisich,AB440990C,2022 to 2023,948.62
Felicia,Kozey,AB518547C,2022 to 2023,675.67
Rene,Feil,AB989581C,2022 to 2023,415.52
Norene,Wehner,AB270128C,2022 to 2023,656.77
Taylor,Grady,AB304622C,2022 to 2023,820.58
Amira,Maggio,AB187468C,2022 to 2023,273.63
Brian,Stanton,AB833630C,2022 to 2023,401.50
Beverly,Kassulke,AB381915C,2022 to 2023,350.50
Jordan,Dietrich,AB782239C,2022 to 2023,103.54
Gonzalo,Prosacco,AB473263C,2022 to 2023,311.61
Ashtyn,Hartmann,AB222784C,2022 to 2023,239.22
Astrid,Schoen,AB783658C,2022 to 2023,883.46
Madalyn,Crist,AB910005C,2022 to 2023,191.86
Heather,Marquardt,AB724703C,2022 to 2023,342.29
Robbie,Friesen,AB681729C,2022 to 2023,670.33
Nicole,Abshire,AB648209C,2022 to 2023,812.71
Guillermo,Keebler,AB848985C,2022 to 2023,786.21
Brett,Wilkinson,AB200689C,2022 to 2023,157.12
Alfonzo,Bruen,AB200585C,2022 to 2023,928.77
Aurore,Brown,AB105872C,2022 to 2023,989.08
Briana,Rempel,AB910009C,2022 to 2023,509.55
Jaylen,Erdman,AB503491C,2022 to 2023,28.34
Buford,Koch,AB291591C,2022 to 2023,239.90
Gunnar,Kassulke,AB177335C,2022 to 2023,907.98
Zackary,Beer,AB525176C,2022 to 2023,758.16
Elmer,Aufderhar,AB138244C,2022 to 2023,627.17
Elisabeth,Waelchi,AB746870C,2022 to 2023,298.32
Araceli,Sipes,AB962908C,2022 to 2023,365.50
Gabriel,Lockman,AB583443C,2022 to 2023,53.38
Vincenzo,VonRueden,AB563267C,2022 to 2023,266.67
Marjory,Renner,AB732610C,2022 to 2023,366.24
Trinity,Schinner,AB899048C,2022 to 2023,902.91
Wilburn,Pfannerstill,AB526203C,2022 to 2023,412.29
Ricky,Heathcote,AB534332C,2022 to 2023,398.19
Marietta,Leannon,AB931101C,2022 to 2023,42.19
Jayne,Bayer,AB943741C,2022 to 2023,692.18
Rebeka,Rath,AB517329C,2022 to 2023,719.91
Lorine,Reilly,AB467095C,2022 to 2023,93.36
Lilian,Harvey,AB498470C,2022 to 2023,241.11
Delilah,Schmitt,AB171020C,2022 to 2023,988.78
Jazmin,Toy,AB247668C,2022 to 2023,542.69
Naomie,Toy,AB375591C,2022 to 2023,595.11
Nigel,Prosacco,AB515755C,2022 to 2023,888.22
Ottis,Treutel,AB490766C,2022 to 2023,623.70
Larue,McCullough,AB593351C,2022 to 2023,859.83
Jamel,Dietrich,AB491717C,2022 to 2023,410.16
Michel,Prosacco,AB234081C,2022 to 2023,729.21
Dessie,Weimann,AB430272C,2022 to 2023,599.89
Russel,Schneider,AB116943C,2022 to 2023,399.83
Felix,Lemke,AB581215C,2022 to 2023,495.96
Nicholaus,Bergnaum,AB238335C,2022 to 2023,620.03
Julian,Lowe,AB632750C,2022 to 2023,105.19
Brianne,Raynor,AB282563C,2022 to 2023,494.04
Brenda,Schneider,AB900221C,2022 to 2023,314.70
Javonte,Kuhlman,AB614765C,2022 to 2023,294.87
Estrella,Lindgren,AB534910C,2022 to 2023,805.71
Laisha,Ward,AB128896C,2022 to 2023,728.85
Josiah,Mayer,AB991214C,2022 to 2023,905.48
Troy,Bernhard,AB813638C,2022 to 2023,786.10
Audra,Schmeler,AB246429C,2022 to 2023,935.83
Lambert,Huels,AB673052C,2022 to 2023,723.90
Louie,Kovacek,AB429655C,2022 to 2023,936.34
Margaretta,Daugherty,AB193561C,2022 to 2023,841.98
Dell,Yost,AB574389C,2022 to 2023,215.29
Carolina,Howell,AB675115C,2022 to 2023,290.15
Rossie,Lynch,AB806927C,2022 to 2023,511.90
Asia,Mante,AB935715C,2022 to 2023,285.01
Dominic,Klocko,AB643651C,2022 to 2023,749.63
Erica,Schowalter,AB661760C,2022 to 2023,410.46
Sierra,Blanda,AB637079C,2022 to 2023,588.59
Brook,Dickinson,AB393635C,2022 to 2023,640.71
Ashton,Lakin,AB318070C,2022 to 2023,763.47
Cathy,Steuber,AB176107C,2022 to 2023,698.49
Alize,Runte,AB887248C,2022 to 2023,674.27
Kim,Kutch,AB384583C,2022 to 2023,985.49
Jammie,Turcotte,AB294551C,2022 to 2023,881.16
Edna,Weissnat,AB915158C,2022 to 2023,12.83
Esteban,Mosciski,AB242589C,2022 to 2023,791.47
Yolanda,Torphy,AB388590C,2022 to 2023,203.26
Kolby,Rice,AB385055C,2022 to 2023,258.84
Paige,Waelchi,AB392719C,2022 to 2023,570.57
Gunner,Harber,AB747022C,2022 to 2023,792.62
Sylvia,Von,AB412341C,2022 to 2023,561.77
Imogene,Goodwin,AB804376C,2022 to 2023,191.30
Monserrat,Doyle,AB963169C,2022 to 2023,168.15
Keshaun,Lowe,AB966930C,2022 to 2023,329.20
Dwight,Maggio,AB400306C,2022 to 2023,823.20
Grady,West,AB703157C,2022 to 2023,426.91
Belle,Lakin,AB170996C,2022 to 2023,699.05
Jeffery,Reichert,AB555014C,2022 to 2023,423.12
Hubert,Waelchi,AB838448C,2022 to 2023,9.45
Antonietta,Bahringer,AB170371C,2022 to 2023,981.54
Ollie,Fay,AB440290C,2022 to 2023,914.78
Virginia,Buckridge,AB407028C,2022 to 2023,870.19
Josue,Blick,AB530819C,2022 to 2023,89.03
Chelsea,Sporer,AB223459C,2022 to 2023,456.30
Phoebe,Berge,AB297627C,2022 to 2023,269.10
Carmela,Schmidt,AB500067C,2022 to 2023,867.53
Richie,Stiedemann,AB386873C,2022 to 2023,621.82
Fletcher,Gusikowski,AB736314C,2022 to 2023,221.04
Claud,Durgan,AB538483C,2022 to 2023,370.49
Gino,Dickinson,AB107977C,2022 to 2023,417.81
Howard,Shanahan,AB268369C,2022 to 2023,243.18
Kevon,Ledner,AB837484C,2022 to 2023,332.72
Dewayne,O'Keefe,AB265528C,2022 to 2023,214.94
Quinten,Okuneva,AB135862C,2022 to 2023,128.11
Solon,McKenzie,AB527734C,2022 to 2023,154.85
Shawn,Wisoky,AB484755C,2022 to 2023,638.86
Aaron,Jacobson,AB954299C,2022 to 2023,672.83
Cynthia,Heaney,AB351142C,2022 to 2023,176.67
Hilton,Volkman,AB856799C,2022 to 2023,219.85
Eunice,Flatley,AB978181C,2022 to 2023,183.71
Jane,Simonis,AB465622C,2022 to 2023,212.69
Carmella,Volkman,AB636665C,2022 to 2023,796.28
Thomas,Hauck,AB868124C,2022 to 2023,345.80
Crystal,D'Amore,AB452486C,2022 to 2023,629.17
Kade,Mills,AB157170C,2022 to 2023,725.66
Lyric,Gleason,AB218317C,2022 to 2023,705.48
Lilliana,Kerluke,AB410117C,2022 to 2023,820.16
Alize,Fahey,AB203481C,2022 to 2023,158.24
Jonatan,Lockman,AB820165C,2022 to 2023,356.59
Reynold,Cole,AB912207C,2022 to 2023,794.46
Jerome,Kuvalis,AB808524C,2022 to 2023,993.80
Bud,Will,AB432852C,2022 to 2023,37.73
Ivah,Kilback,AB128507C,2022 to 2023,424.11
Maye,Hoeger,AB342496C,2022 to 2023,714.83
Jerome,Muller,AB493973C,2022 to 2023,739.14
Anastacio,Kris,AB608678C,2022 to 2023,892.38
Mercedes,Hartmann,AB582081C,2022 to 2023,922.17
Lulu,Friesen,AB733219C,2022 to 2023,124.33
Clemens,Franecki,AB866593C,2022 to 2023,319.80
Avery,Graham,AB285978C,2022 to 2023,689.21
Gayle,Balistreri,AB471724C,2022 to 2023,471.13
Alva,Rau,AB445533C,2022 to 2023,17.41
Elza,Kovacek,AB685569C,2022 to 2023,309.39
Dion,Dicki,AB220427C,2022 to 2023,367.25
Annabel,King,AB409192C,2022 to 2023,198.48
Coleman,Macejkovic,AB291922C,2022 to 2023,515.14
Dianna,Gerhold,AB885434C,2022 to 2023,406.25
Elton,Fadel,AB505956C,2022 to 2023,78.43
Annabelle,Stokes,AB851726C,2022 to 2023,805.14
Isabel,Paucek,AB599791C,2022 to 2023,695.49
Manley,Roob,AB944824C,2022 to 2023,678.13
Friedrich,Gorczany,AB251325C,2022 to 2023,471.79
Max,Connelly,AB173651C,2022 to 2023,61.79
Juliana,Stracke,AB636441C,2022 to 2023,904.45
Luigi,Corkery,AB334290C,2022 to 2023,771.49
Ryder,Brekke,AB382600C,2022 to 2023,569.13
Alec,Simonis,AB957579C,2022 to 2023,725.16
Marion,D'Amore,AB485354C,2022 to 2023,354.75
Tyra,Ritchie,AB354642C,2022 to 2023,215.54
Tomasa,Johnston,AB398297C,2022 to 2023,711.67
Orpha,Cummings,AB293373C,2022 to 2023,445.41
Sage,Hudson,AB976921C,2022 to 2023,150.10
Vivienne,Kozey,AB319642C,2022 to 2023,278.16
Finn,Marvin,AB969531C,2022 to 2023,670.45
Kurt,Dare,AB716817C,2022 to 2023,590.09
Georgianna,Bechtelar,AB145786C,2022 to 2023,584.37
Wanda,Sawayn,AB433220C,2022 to 2023,654.11
Shyann,Schaden,AB487735C,2022 to 2023,712.59
Eudora,Blanda,AB569711C,2022 to 2023,820.35
Sabina,Gislason,AB782003C,2022 to 2023,885.02
Destin,Goodwin,AB379099C,2022 to 2023,341.50
Dalton,Cremin,AB592017C,2022 to 2023,290.51
Norval,Gusikowski,AB818744C,2022 to 2023,125.62
Jeremie,Kub,AB823478C,2022 to 2023,152.67
Milford,Kris,AB235391C,2022 to 2023,339.06
Eddie,Schimmel,AB289995C,2022 to 2023,449.38
Neva,Keebler,AB452784C,2022 to 2023,175.12
Seamus,Beier,AB900378C,2022 to 2023,418.09
Milford,Morar,AB345723C,2022 to 2023,649.47
Kayleigh,Blick,AB672450C,2022 to 2023,991.80
Bradly,Greenfelder,AB478676C,2022 to 2023,719.61
Kelton,Howe,AB190774C,2022 to 2023,468.18
Charlene,Bartell,AB252905C,2022 to 2023,546.06
Rosalind,Streich,AB610314C,2022 to 2023,550.94
Jada,Bailey,AB161451C,2022 to 2023,203.48
Trinity,Bergnaum,AB564597C,2022 to 2023,830.97
Anika,Fahey,AB632778C,2022 to 2023,155.55
Nathaniel,Frami,AB863601C,2022 to 2023,411.36
Carole,Kuvalis,AB761921C,2022 to 2023,742.76
Monserrat,Considine,AB255675C,2022 to 2023,534.83
Juana,Murray,AB928307C,2022 to 2023,261.15
Ellen,Upton,AB847931C,2022 to 2023,397.65
Ahmad,Deckow,AB256683C,2022 to 2023,794.44
Elza,Langosh,AB735917C,2022 to 2023,226.37
Jeremy,Bailey,AB800472C,2022 to 2023,720.17
Liliana,Carroll,AB415736C,2022 to 2023,513.69
Mollie,Sipes,AB320100C,2022 to 2023,709.39
Tina,Hoppe,AB749665C,2022 to 2023,348.69
Fredy,Howe,AB652186C,2022 to 2023,765.79
Seamus,Labadie,AB714855C,2022 to 2023,139.50
Roosevelt,McGlynn,AB573554C,2022 to 2023,499.67
Ibrahim,Nader,AB678611C,2022 to 2023,35.82
Laisha,Pollich,AB575818C,2022 to 2023,496.53
Jonathon,D'Amore,AB607271C,2022 to 2023,472.52
Dorothea,Hane,AB817541C,2022 to 2023,648.28
Sterling,Keebler,AB635995C,2022 to 2023,629.68
Augustine,Smith,AB429936C,2022 to 2023,573.60
Jude,Anderson,AB233328C,2022 to 2023,145.62
Gretchen,Schmidt,AB963149C,2022 to 2023,476.17
Jose,Leuschke,AB433286C,2022 to 2023,454.99
Hipolito,Cassin,AB764956C,2022 to 2023,135.25
Estefania,Bahringer,AB333283C,2022 to 2023,244.03
Bruce,McKenzie,AB620955C,2022 to 2023,6.29
Enoch,Considine,AB587551C,2022 to 2023,163.58
Marietta,King,AB358995C,2022 to 2023,450.76
Naomi,Tromp,AB723299C,2022 to 2023,172.37
Jana,Bergnaum,AB301622C,2022 to 2023,316.70
Marta,Rogahn,AB116483C,2022 to 2023,846.14
Velda,Goldner,AB671424C,2022 to 2023,864.14
Maybelle,Hintz,AB644222C,2022 to 2023,84.74
Tressa,King,AB878226C,2022 to 2023,666.40
Eryn,Anderson,AB137962C,2022 to 2023,300.70
Rahsaan,Von,AB383235C,2022 to 2023,445.70
Buddy,Hermiston,AB903070C,2022 to 2023,848.99
Judah,Schumm,AB919154C,2022 to 2023,247.49
Freddy,Shanahan,AB796431C,2022 to 2023,654.23
Bridget,Renner,AB938286C,2022 to 2023,615.77
Josefa,Bernier,AB565211C,2022 to 2023,338.84
Albert,Bashirian,AB340844C,2022 to 2023,411.26
Julius,Crist,AB197705C,2022 to 2023,874.71
Jerome,Hauck,AB417734C,2022 to 2023,497.61
Rowena,Altenwerth,AB951738C,2022 to 2023,220.43
Lexus,Nikolaus,AB721445C,2022 to 2023,967.40
Sydnie,Schumm,AB826032C,2022 to 2023,878.16
Edison,Nitzsche,AB330699C,2022 to 2023,424.21
Erick,Klocko,AB696610C,2022 to 2023,326.26
Roxanne,Keebler,AB933811C,2022 to 2023,861.68
Arthur,Skiles,AB294606C,2022 to 2023,812.47
Mckenzie,Feeney,AB827005C,2022 to 2023,359.43
Reggie,Beahan,AB246320C,2022 to 2023,744.34
Zetta,Fadel,AB464481C,2022 to 2023,38.46
Henderson,Wolff,AB645281C,2022 to 2023,998.89
Cornell,Legros,AB615404C,2022 to 2023,300.72
Afton,Hackett,AB465586C,2022 to 2023,658.76
Sylvester,Fisher,AB246820C,2022 to 2023,907.95
Keon,Gulgowski,AB118501C,2022 to 2023,985.71
Russ,Dare,AB104605C,2022 to 2023,613.49
Melany,Corkery,AB575735C,2022 to 2023,255.38
Luciano,Pfannerstill,AB671629C,2022 to 2023,764.16
Marietta,Abbott,AB743650C,2022 to 2023,165.45
Ervin,Cummerata,AB506327C,2022 to 2023,312.04
Jacey,Torphy,AB678384C,2022 to 2023,979.91
Rey,Hessel,AB251888C,2022 to 2023,136.16
Ashlee,Feeney,AB303670C,2022 to 2023,945.05
Camila,Schumm,AB663899C,2022 to 2023,542.94
Norval,Wolff,AB703292C,2022 to 2023,141.99
Marley,Walter,AB206206C,2022 to 2023,205.49
Lizzie,Walter,AB160285C,2022 to 2023,41.84
Eloisa,Adams,AB862526C,2022 to 2023,932.75
Wyman,Pollich,AB700512C,2022 to 2023,608.54
Lelah,Howell,AB584876C,2022 to 2023,83.62
Jeromy,Armstrong,AB702088C,2022 to 2023,758.64
Dallas,Connelly,AB504754C,2022 to 2023,113.14
Axel,Hermiston,AB145324C,2022 to 2023,832.38
Macy,Klein,AB860076C,2022 to 2023,209.52
Emmalee,Kautzer,AB241987C,2022 to 2023,416.33
Gerson,Fahey,AB115078C,2022 to 2023,938.61
Zoey,Frami,AB273142C,2022 to 2023,44.16
Elise,Gusikowski,AB714133C,2022 to 2023,922.06
Katharina,Kerluke,AB703879C,2022 to 2023,777.65
Noemi,Wilderman,AB804008C,2022 to 2023,715.53
Jalen,Stark,AB313822C,2022 to 2023,949.67
Demond,Schoen,AB280725C,2022 to 2023,250.87
Everette,Nader,AB954940C,2022 to 2023,746.57
Tania,Murphy,AB370458C,2022 to 2023,10.86
Nelda,Hyatt,AB769666C,2022 to 2023,134.69
Ethyl,Larson,AB846293C,2022 to 2023,495.35
Javonte,Ward,AB967637C,2022 to 2023,560.75
Josefa,Corkery,AB626140C,2022 to 2023,44.60
Pedro,Heller,AB990049C,2022 to 2023,907.97
Florencio,Ferry,AB778722C,2022 to 2023,378.84
Aaliyah,Heaney,AB752490C,2022 to 2023,354.24
Fay,Batz,AB173287C,2022 to 2023,318.25
Jonatan,McClure,AB354736C,2022 to 2023,718.11
Justine,Dickinson,AB681133C,2022 to 2023,783.57
Billy,Stroman,AB533323C,2022 to 2023,958.22
Gwendolyn,Stamm,AB375971C,2022 to 2023,168.11
Ona,Krajcik,AB226755C,2022 to 2023,556.77
Milo,Hettinger,AB285959C,2022 to 2023,222.64
Isaac,Mills,AB732943C,2022 to 2023,557.49
Betty,Jast,AB520722C,2022 to 2023,707.48
Shyanne,Lueilwitz,AB297817C,2022 to 2023,835.16
Rico,Skiles,AB224351C,2022 to 2023,607.02
Sigmund,Dooley,AB163878C,2022 to 2023,720.09
Alexis,Ernser,AB907532C,2022 to 2023,352.06
Virginia,Simonis,AB736538C,2022 to 2023,580.73
Eddie,Bednar,AB891253C,2022 to 2023,24.99
Elaina,Padberg,AB635904C,2022 to 2023,993.04
Maudie,Kertzmann,AB980108C,2022 to 2023,337.28
Bertram,Thiel,AB284229C,2022 to 2023,543.18
Junior,Brakus,AB593045C,2022 to 2023,163.58
Samson,Kris,AB647336C,2022 to 2023,329.01
Adam,Cartwright,AB502932C,2022 to 2023,731.93
Lacey,Mitchell,AB741084C,2022 to 2023,620.25
Reyna,Wunsch,AB970964C,2022 to 2023,763.47
Desmond,Cremin,AB880650C,2022 to 2023,910.28
Marley,Kertzmann,AB833043C,2022 to 2023,360.38
Vincenza,Bernhard,AB532824C,2022 to 2023,773.94
Mackenzie,Hickle,AB822078C,2022 to 2023,386.28
Maci,Keeling,AB952471C,2022 to 2023,938.11
Kraig,Terry,AB800004C,2022 to 2023,327.17
Kiana,Herman,AB176580C,2022 to 2023,218.80
Chelsea,Swaniawski,AB116870C,2022 to 2023,425.99
Helene,Weimann,AB613261C,2022 to 2023,860.07
Adaline,Effertz,AB178576C,2022 to 2023,955.85
Ezequiel,Dach,AB971089C,2022 to 2023,320.51
Chelsie,Hirthe,AB960073C,2022 to 2023,954.01
Terry,Barrows,AB354386C,2022 to 2023,818.59
Guy,Barton,AB113619C,2022 to 2023,938.86
Gladys,Reinger,AB169924C,2022 to 2023,747.87
Geovanny,Johnston,AB684000C,2022 to 2023,561.71
Arianna,Nienow,AB790678C,2022 to 2023,281.51
Anastacio,Wolff,AB868213C,2022 to 2023,966.86
Tristian,Wuckert,AB439767C,2022 to 2023,453.36
Vella,Bogisich,AB633438C,2022 to 2023,736.71
Benedict,Lind,AB524998C,2022 to 2023,983.69
Joaquin,Koepp,AB277222C,2022 to 2023,854.49
Westley,Pouros,AB661116C,2022 to 2023,239.37
Elsa,Gibson,AB426730C,2022 to 2023,529.17
Vernie,Bogan,AB572360C,2022 to 2023,408.76
Trinity,Gottlieb,AB264963C,2022 to 2023,458.22
Marvin,Bosco,AB114284C,2022 to 2023,335.59
Lupe,Ferry,AB751916C,2022 to 2023,449.58
Wilson,McClure,AB816091C,2022 to 2023,846.10
Kelsi,Rice,AB658709C,2022 to 2023,488.57
Herbert,Batz,AB874356C,2022 to 2023,891.94
Hugh,Beatty,AB741209C,2022 to 2023,638.55
Jesse,Ward,AB110200C,2022 to 2023,982.60
Mable,Kub,AB752977C,2022 to 2023,776.23
Deanna,O'Hara,AB749240C,2022 to 2023,516.10
Jessika,Barton,AB872986C,2022 to 2023,62.74
Loy,Grant,AB135309C,2022 to 2023,165.63
Jacquelyn,Fahey,AB941701C,2022 to 2023,829.58
Lawson,Wisoky,AB134880C,2022 to 2023,578.48
Stephanie,Hoppe,AB177201C,2022 to 2023,618.22
Myrl,Glover,AB147716C,2022 to 2023,894.97
Dock,Becker,AB326360C,2022 to 2023,462.63
Abigayle,Leuschke,AB811103C,2022 to 2023,781.35
Serenity,O'Conner,AB972946C,2022 to 2023,172.78
June,Stanton,AB835472C,2022 to 2023,261.59
Owen,Krajcik,AB382784C,2022 to 2023,878.77
Magdalena,Williamson,AB611215C,2022 to 2023,481.42
Tyreek,O'Keefe,AB580289C,2022 to 2023,357.05
Eloisa,Gutmann,AB818844C,2022 to 2023,436.21
Billie,Bogan,AB155216C,2022 to 2023,985.41
Kaelyn,Emmerich,AB498519C,2022 to 2023,455.59
Bernice,Hegmann,AB514582C,2022 to 2023,689.01
Ramiro,Wiza,AB490809C,2022 to 2023,924.79
Arely,Murazik,AB879755C,2022 to 2023,278.93
Mercedes,Schroeder,AB994951C,2022 to 2023,930.62
Zetta,Hoppe,AB710668C,2022 to 2023,469.94
Melyssa,Cummings,AB747897C,2022 to 2023,240.15
Reece,Price,AB578287C,2022 to 2023,79.76
Chandler,O'Keefe,AB806929C,2022 to 2023,939.51
Victor,Prosacco,AB251166C,2022 to 2023,937.48
Remington,Orn,AB322368C,2022 to 2023,252.94
Okey,Tromp,AB446339C,2022 to 2023,306.92
Jacey,Kohler,AB609811C,2022 to 2023,978.21
Donald,Blanda,AB491951C,2022 to 2023,795.22
Dennis,Dietrich,AB146068C,2022 to 2023,719.35
Stan,Thompson,AB395941C,2022 to 2023,345.35
Kitty,Gleichner,AB297959C,2022 to 2023,625.30
Fiona,Witting,AB762276C,2022 to 2023,3.79
Durward,Williamson,AB903342C,2022 to 2023,919.96
Emily,Yost,AB171973C,2022 to 2023,103.51
Elisa,Torphy,AB953175C,2022 to 2023,36.04
Janae,Farrell,AB207075C,2022 to 2023,549.30
Jessie,Emard,AB287116C,2022 to 2023,330.64
Kaylah,Tillman,AB133040C,2022 to 2023,310.28
Kyle,Barrows,AB134926C,2022 to 2023,69.69
Arnaldo,Spinka,AB924902C,2022 to 2023,530.32
Mackenzie,Crooks,AB818355C,2022 to 2023,636.02
Darrion,Brekke,AB301547C,2022 to 2023,799.28
Jettie,Kemmer,AB107739C,2022 to 2023,292.78
Blaze,Terry,AB719773C,2022 to 2023,148.86
Ethyl,Langosh,AB272815C,2022 to 2023,473.96
Michel,Armstrong,AB597056C,2022 to 2023,700.91
Sven,Terry,AB742346C,2022 to 2023,165.34
Mellie,Kunze,AB560602C,2022 to 2023,596.65
Merle,Nienow,AB247879C,2022 to 2023,877.91
Otha,Treutel,AB445877C,2022 to 2023,999.92
Lenny,Lemke,AB828049C,2022 to 2023,796.71
Tillman,Dietrich,AB829375C,2022 to 2023,535.68
Spencer,Marquardt,AB725201C,2022 to 2023,360.24
Jacques,Skiles,AB579516C,2022 to 2023,414.47
Gerald,Keeling,AB356630C,2022 to 2023,486.54
Peter,West,AB146122C,2022 to 2023,2.16
Rusty,Ledner,AB556485C,2022 to 2023,619.56
Randi,Spinka,AB860890C,2022 to 2023,908.85
Theresia,Maggio,AB766913C,2022 to 2023,671.82
Garnet,Jacobson,AB796058C,2022 to 2023,415.28
Vivian,Dibbert,AB601601C,2022 to 2023,783.31
Sasha,Graham,AB123169C,2022 to 2023,902.00
Winston,Rath,AB448554C,2022 to 2023,921.98
Shanelle,Feeney,AB467284C,2022 to 2023,787.95
