First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Henderson,Bins,AB510577C,Fixed protection 2014,55414321,161.18,2022-11-06
Clara,Ernser,AB127438C,Enhanced lifetime allowance,12580096,185.89,2022-11-02
Shaun,Champlin,AB874343C,Individual protection 2014,36672703,843.57,2022-11-07
Chaz,Frami,AB278642C,Enhanced protection,98843942,822.35,2022-11-08
Arely,Walsh,AB394105C,Individual protection 2014,71566160,421.07,2022-11-04
Lauriane,Rempel,AB474979C,Individual protection 2016,28239946,645.95,2022-11-01
Regan,Cruickshank,AB544887C,Fixed protection 2014,64190999,506.12,2022-11-03
Lydia,Christiansen,AB925396C,Enhanced protection,78827383,149.22,2022-11-07
Jaqueline,Tromp,AB880625C,Fixed protection 2014,67418765,540.17,2022-11-03
Berneice,Hintz,AB231417C,Fixed protection,42689168,696.26,2022-11-04
Lance,Reynolds,AB477471C,Individual protection 2014,85965636,782.44,2022-11-06
Arely,Tremblay,AB920909C,Fixed protection 2014,97095536,614.52,2022-11-08
Brandi,Rogahn,AB229514C,Individual protection 2014,35038208,30.70,2022-11-07
Ashtyn,Hauck,AB302539C,Fixed protection 2016,11691718,853.21,2022-11-07
Savion,Bernhard,AB526990C,Enhanced lifetime allowance,65087981,714.55,2022-11-06
Carolyne,Morar,AB579941C,Individual protection 2016,40394774,945.80,2022-11-01
Yolanda,Botsford,AB107381C,Enhanced protection,78236797,533.89,2022-11-08
Zetta,Grady,AB221878C,Individual protection 2016,84234420,198.07,2022-11-05
Ambrose,Hudson,AB160564C,Enhanced protection,19743476,720.10,2022-11-07
Adan,Botsford,AB676741C,Enhanced protection,26692860,633.88,2022-11-03
Tina,Hoeger,AB612585C,Enhanced protection,64913196,866.01,2022-11-01
Ignatius,Mann,AB501390C,Enhanced lifetime allowance,36815745,657.84,2022-11-08
Irma,Champlin,AB105261C,Individual protection 2014,89914732,439.67,2022-11-04
Ubaldo,Borer,AB690867C,Fixed protection 2016,75228193,770.40,2022-11-01
Alicia,Reinger,AB553475C,Enhanced protection,81576275,944.41,2022-11-06
Humberto,Nikolaus,AB524981C,Enhanced lifetime allowance,98626036,182.48,2022-11-04
Melvin,Cruickshank,AB277837C,Enhanced lifetime allowance,35843768,277.23,2022-11-05
Giovanny,Rolfson,AB836096C,Fixed protection,83426946,81.87,2022-11-04
Shayne,Collier,AB138556C,Fixed protection,18062799,606.78,2022-11-03
Brooke,Tillman,AB974793C,Fixed protection 2016,72042231,80.52,2022-11-04
Vicky,Durgan,AB605221C,Fixed protection,81947900,909.80,2022-11-04
Jarrell,Rutherford,AB167826C,Fixed protection,34318366,822.57,2022-11-05
Marianna,Lueilwitz,AB703819C,Individual protection 2014,90172647,569.53,2022-11-01
Brian,Wisoky,AB211124C,Enhanced protection,55341079,473.54,2022-11-02
Alexandre,Konopelski,AB942112C,Individual protection 2014,10538043,175.78,2022-11-02
Benjamin,Wilderman,AB399066C,Fixed protection 2014,79991502,382.51,2022-11-07
Marvin,Witting,AB801059C,Fixed protection 2014,15572053,259.76,2022-11-08
Adolfo,Kirlin,AB599469C,Enhanced lifetime allowance,94194270,576.46,2022-11-07
Estrella,Hessel,AB347024C,Individual protection 2014,75824872,222.32,2022-11-05
Dominique,Heathcote,AB111892C,Enhanced protection,70775489,522.69,2022-11-03
Rashad,Barrows,AB397756C,Individual protection 2016,35806143,799.86,2022-11-05
Robb,Schumm,AB457106C,Individual protection 2014,43406929,504.23,2022-11-02
Cleta,Spinka,AB772464C,Fixed protection 2016,17679180,736.32,2022-11-01
Amelie,Glover,AB504206C,Fixed protection 2014,75902732,511.89,2022-11-04
Lulu,Schroeder,AB755541C,Fixed protection,87361361,134.86,2022-11-07
Johan,Davis,AB825917C,Individual protection 2016,66539713,739.70,2022-11-06
Maria,Lueilwitz,AB909165C,Individual protection 2014,61463038,981.26,2022-11-04
Bert,Gislason,AB548462C,Individual protection 2014,49186062,889.83,2022-11-01
Lauren,Goodwin,AB477058C,Individual protection 2014,37445511,222.55,2022-11-07
Tyrique,Kohler,AB837062C,Individual protection 2014,95563998,924.83,2022-11-06
Roman,McDermott,AB675034C,Fixed protection,67944992,43.91,2022-11-08
Gudrun,Gibson,AB280187C,Enhanced lifetime allowance,80269677,331.51,2022-11-08
Hipolito,Stroman,AB503354C,Fixed protection,15464494,185.90,2022-11-03
Dejah,Price,AB790935C,Enhanced protection,92795090,776.53,2022-11-07
Floyd,Smith,AB876107C,Fixed protection 2016,25803867,553.60,2022-11-01
Vernice,Dickens,AB731493C,Fixed protection 2016,72249374,279.36,2022-11-04
Ena,Schuppe,AB762480C,Individual protection 2014,43497023,91.84,2022-11-08
Hassan,Schiller,AB160771C,Fixed protection,23531154,847.78,2022-11-05
Alisa,Klein,AB977329C,Fixed protection 2014,16183180,131.92,2022-11-05
Modesto,Murphy,AB550147C,Fixed protection 2016,51431525,30.47,2022-11-07
Graciela,Breitenberg,AB268474C,Enhanced protection,30465840,145.84,2022-11-05
Savannah,Steuber,AB706886C,Fixed protection,50286377,584.90,2022-11-06
Pedro,Bahringer,AB806566C,Individual protection 2014,99726574,764.31,2022-11-05
Jarrell,Stoltenberg,AB660873C,Enhanced lifetime allowance,58761387,878.14,2022-11-07
Julianne,Bednar,AB775950C,Fixed protection 2016,89184288,63.50,2022-11-03
Eunice,Robel,AB682186C,Enhanced lifetime allowance,95638707,682.15,2022-11-04
Kaitlin,Rolfson,AB858642C,Individual protection 2014,82736285,876.04,2022-11-06
Anderson,Breitenberg,AB874038C,Enhanced lifetime allowance,70605257,406.35,2022-11-01
Eugenia,Price,AB347085C,Fixed protection 2016,14477684,271.86,2022-11-01
Christop,Kassulke,AB111045C,Fixed protection,51052751,748.07,2022-11-08
Marlen,Adams,AB352895C,Enhanced protection,51078033,914.18,2022-11-08
Tito,Kling,AB273263C,Fixed protection,46425526,363.34,2022-11-07
Frederic,Zboncak,AB611897C,Enhanced lifetime allowance,56919899,707.08,2022-11-05
Leslie,Glover,AB723525C,Fixed protection,61461866,62.11,2022-11-03
Ruthie,Boehm,AB558082C,Fixed protection 2014,36762098,453.43,2022-11-06
Renee,Beahan,AB433187C,Enhanced protection,65840596,766.52,2022-11-05
Akeem,Dach,AB799484C,Individual protection 2016,28081462,336.37,2022-11-02
Nathaniel,Marks,AB753809C,Individual protection 2016,13572400,820.41,2022-11-06
Jacklyn,Bruen,AB756063C,Fixed protection 2016,80048935,746.00,2022-11-06
Kendra,Graham,AB785977C,Enhanced protection,78412553,887.61,2022-11-01
Elian,Crooks,AB430091C,Individual protection 2014,33491109,950.83,2022-11-01
Jamarcus,Barrows,AB994893C,Fixed protection,13622457,289.93,2022-11-03
Gus,Kuphal,AB453196C,Individual protection 2014,46417651,857.07,2022-11-08
Jonatan,Kuhlman,AB523884C,Individual protection 2016,94467316,578.01,2022-11-05
Lincoln,Schmidt,AB238625C,Individual protection 2016,83866819,515.48,2022-11-08
Maxime,Feeney,AB945666C,Enhanced protection,27238143,461.25,2022-11-04
Eunice,Towne,AB158886C,Fixed protection 2016,26943028,868.65,2022-11-05
Jo,Reinger,AB196700C,Enhanced protection,71948221,496.72,2022-11-03
Janice,White,AB677810C,Fixed protection 2016,50002175,460.37,2022-11-03
Donato,Murphy,AB469533C,Fixed protection 2016,84959727,171.25,2022-11-03
Adan,Hessel,AB998192C,Fixed protection,95291231,86.21,2022-11-01
Marge,Labadie,AB344732C,Fixed protection 2016,70893478,574.59,2022-11-07
Coleman,Morar,AB169861C,Individual protection 2014,30786852,158.88,2022-11-04
Noble,Rippin,AB407511C,Fixed protection 2014,90153009,704.79,2022-11-04
Adolfo,Berge,AB582410C,Fixed protection 2014,97336643,35.37,2022-11-08
Zelda,Hackett,AB852922C,Fixed protection 2016,12383223,622.83,2022-11-03
Jaylin,Huels,AB214909C,Individual protection 2014,77007892,176.93,2022-11-03
Stefanie,Schmeler,AB414671C,Individual protection 2014,22568809,159.74,2022-11-06
Danielle,Hauck,AB206466C,Individual protection 2016,54732450,731.25,2022-11-05
Isidro,O'Keefe,AB201550C,Fixed protection 2016,75479853,199.13,2022-11-08
Kayley,Senger,AB713646C,Individual protection 2016,20889115,647.11,2022-11-04
Hilario,Krajcik,AB335003C,Individual protection 2016,42390702,890.63,2022-11-06
Kelton,Dach,AB795182C,Enhanced protection,66695826,683.58,2022-11-01
Reid,Watsica,AB161344C,Enhanced protection,20246971,103.46,2022-11-01
Maiya,Spinka,AB415785C,Enhanced protection,23819722,591.12,2022-11-08
Liza,Hamill,AB268655C,Individual protection 2014,73278443,940.11,2022-11-01
Carol,Wolf,AB517885C,Enhanced lifetime allowance,49103281,2.29,2022-11-05
Hipolito,Powlowski,AB332400C,Enhanced protection,36512563,780.66,2022-11-04
Ellie,Hermiston,AB451748C,Individual protection 2016,52766959,827.07,2022-11-02
Jimmie,Nicolas,AB182579C,Enhanced lifetime allowance,14862938,23.44,2022-11-07
Jaquelin,Johnston,AB325425C,Fixed protection 2016,74043144,419.74,2022-11-01
Jayson,Oberbrunner,AB805037C,Enhanced lifetime allowance,57642836,202.15,2022-11-02
Georgiana,Walter,AB337446C,Enhanced protection,95915193,556.67,2022-11-03
Carolanne,Schowalter,AB274165C,Enhanced protection,88036678,688.48,2022-11-08
Else,McGlynn,AB719986C,Fixed protection,18962677,944.18,2022-11-01
Fleta,Runte,AB214145C,Fixed protection,67849157,86.01,2022-11-07
Silas,Schumm,AB456957C,Fixed protection,42752169,652.33,2022-11-05
Don,Zieme,AB155955C,Individual protection 2016,67619122,748.11,2022-11-08
Andres,Dietrich,AB446557C,Fixed protection 2014,68264241,457.22,2022-11-01
Lenna,Senger,AB816694C,Individual protection 2016,93761731,817.51,2022-11-01
Dejon,Kemmer,AB686079C,Fixed protection 2014,61827173,299.34,2022-11-07
Karley,Goodwin,AB953559C,Individual protection 2016,68474313,5.13,2022-11-03
Jedidiah,Feil,AB495059C,Fixed protection 2016,65377070,488.65,2022-11-04
Andreane,Champlin,AB391260C,Fixed protection 2014,67313158,616.50,2022-11-01
Josiah,Leuschke,AB190761C,Fixed protection 2014,99527320,57.56,2022-11-01
Newell,D'Amore,AB932571C,Enhanced protection,37898625,986.89,2022-11-02
Rolando,Ferry,AB692859C,Enhanced protection,44211155,589.76,2022-11-05
Kiarra,Schroeder,AB391358C,Individual protection 2014,37399292,68.08,2022-11-04
Georgiana,Gleichner,AB574354C,Fixed protection,66689220,111.28,2022-11-05
Oma,Gerlach,AB712867C,Individual protection 2016,25814613,196.72,2022-11-06
Annetta,Marquardt,AB852133C,Enhanced protection,59267636,252.89,2022-11-01
Ardella,Lang,AB813870C,Enhanced lifetime allowance,35040460,710.89,2022-11-02
Tyreek,McDermott,AB850949C,Fixed protection 2014,84220219,74.00,2022-11-04
Alanis,Jewess,AB734249C,Individual protection 2014,66093306,481.00,2022-11-06
Amelia,Pacocha,AB620804C,Enhanced lifetime allowance,78143780,807.38,2022-11-06
Jasmin,Predovic,AB580503C,Fixed protection 2016,17133024,134.84,2022-11-06
Wilmer,Mante,AB765306C,Enhanced lifetime allowance,38984137,910.28,2022-11-03
Lavada,Johns,AB479319C,Enhanced protection,87615493,155.74,2022-11-06
Raquel,Pagac,AB563848C,Enhanced protection,58262477,558.44,2022-11-01
Julie,Kshlerin,AB648560C,Enhanced protection,94569268,941.31,2022-11-05
Josefina,Leffler,AB139104C,Individual protection 2014,17857201,402.12,2022-11-04
Elwyn,Wilderman,AB576676C,Individual protection 2014,42696660,841.30,2022-11-06
Joanie,Anderson,AB883751C,Fixed protection 2014,59822166,32.32,2022-11-08
Nella,Hodkiewicz,AB376300C,Fixed protection,88197408,454.75,2022-11-08
Annette,Nienow,AB322888C,Individual protection 2014,42321972,454.04,2022-11-06
Berta,Stoltenberg,AB757889C,Fixed protection 2014,27714809,293.46,2022-11-06
Gaylord,Abernathy,AB417295C,Fixed protection 2014,71773428,716.13,2022-11-02
Sibyl,Swaniawski,AB367781C,Fixed protection 2014,65663700,436.44,2022-11-02
Zane,Hills,AB449551C,Enhanced protection,38253218,191.06,2022-11-03
Lemuel,Kutch,AB700389C,Enhanced lifetime allowance,12389550,600.40,2022-11-04
Davonte,McDermott,AB949159C,Individual protection 2014,53985593,24.26,2022-11-08
Lupe,O'Hara,AB101894C,Fixed protection 2016,52707547,485.64,2022-11-07
Eloise,Hegmann,AB195342C,Enhanced lifetime allowance,74061876,448.90,2022-11-02
Garrett,Gorczany,AB263967C,Enhanced lifetime allowance,15063081,934.88,2022-11-02
Sherman,Kuhic,AB228163C,Individual protection 2016,33161479,202.58,2022-11-06
Angela,Waters,AB389833C,Individual protection 2016,73688316,800.95,2022-11-05
Felipe,Bartoletti,AB565516C,Enhanced lifetime allowance,32071606,868.24,2022-11-02
Darrick,Spencer,AB426260C,Fixed protection 2014,56677347,67.80,2022-11-04
Jayme,Botsford,AB202979C,Fixed protection,61746242,576.10,2022-11-05
Finn,O'Reilly,AB395969C,Fixed protection,98103463,503.68,2022-11-01
Moises,Stokes,AB158630C,Individual protection 2016,19353747,955.62,2022-11-02
Rosa,Gutkowski,AB710539C,Fixed protection 2016,48473129,758.08,2022-11-01
Zella,Schultz,AB243499C,Fixed protection 2014,67826327,504.46,2022-11-08
Korey,Champlin,AB326325C,Enhanced protection,21221957,820.14,2022-11-05
Gabriella,Kunde,AB387797C,Enhanced protection,96578199,424.03,2022-11-05
Ilene,Lakin,AB958356C,Fixed protection 2016,75914109,960.96,2022-11-08
Judah,Hickle,AB231550C,Fixed protection,47379095,238.78,2022-11-02
Loren,Parker,AB416048C,Individual protection 2016,29208426,326.01,2022-11-08
Emmett,Ritchie,AB150456C,Enhanced protection,62885142,839.55,2022-11-05
Corrine,Gerhold,AB294202C,Fixed protection,12000661,150.40,2022-11-02
Arlene,Roberts,AB319167C,Fixed protection 2014,51133370,6.00,2022-11-01
Maida,Ziemann,AB527604C,Fixed protection 2016,17067032,975.14,2022-11-06
Gordon,Pfannerstill,AB497206C,Fixed protection 2014,70761502,681.67,2022-11-06
Bernice,Lemke,AB443767C,Enhanced lifetime allowance,50408386,469.66,2022-11-06
Emelia,Rau,AB800709C,Fixed protection,47471484,524.08,2022-11-04
Savannah,Gulgowski,AB669331C,Fixed protection,50947000,990.60,2022-11-05
Aron,Rath,AB230681C,Fixed protection,79160193,617.52,2022-11-01
Lenora,Jenkins,AB121152C,Fixed protection,17462607,151.92,2022-11-07
Cyrus,Dare,AB754470C,Individual protection 2014,61835523,413.44,2022-11-01
Lindsay,Kuhlman,AB661911C,Fixed protection 2016,41139424,882.50,2022-11-04
Steve,Altenwerth,AB141881C,Fixed protection,90661442,268.12,2022-11-06
Griffin,Lueilwitz,AB290032C,Individual protection 2016,64975841,586.21,2022-11-01
Clotilde,Stamm,AB456754C,Enhanced lifetime allowance,89239641,219.49,2022-11-08
Gilberto,Grant,AB466302C,Enhanced lifetime allowance,91237146,554.94,2022-11-04
Sydnee,Zemlak,AB339214C,Individual protection 2016,70622379,158.62,2022-11-02
Andre,Hilpert,AB930183C,Fixed protection 2014,93072017,781.98,2022-11-07
Ofelia,Graham,AB959573C,Fixed protection 2016,90449669,274.01,2022-11-03
Maddison,Veum,AB183485C,Enhanced protection,73995472,288.15,2022-11-06
Jake,Purdy,AB740995C,Fixed protection 2014,13264465,881.66,2022-11-03
Efrain,Stanton,AB362656C,Individual protection 2016,67908991,467.07,2022-11-07
Dasia,Green,AB363979C,Enhanced lifetime allowance,60849896,788.15,2022-11-02
Zelma,Shields,AB818676C,Enhanced lifetime allowance,42313863,570.53,2022-11-01
Tyrese,Mueller,AB705443C,Enhanced protection,97418540,382.96,2022-11-05
Erik,Jerde,AB739102C,Enhanced lifetime allowance,19387748,119.02,2022-11-07
Brandy,Hane,AB803789C,Fixed protection,94986171,688.67,2022-11-01
Delpha,Cronin,AB648761C,Enhanced protection,62623151,669.18,2022-11-03
Jaylan,McKenzie,AB912369C,Fixed protection 2016,16656346,741.29,2022-11-05
Houston,Waters,AB295654C,Individual protection 2016,79225852,674.66,2022-11-05
Ryan,Volkman,AB210907C,Individual protection 2016,85371960,177.59,2022-11-04
Isabelle,Parker,AB281174C,Individual protection 2014,48868991,602.89,2022-11-02
Marcos,Harvey,AB531036C,Enhanced lifetime allowance,62653878,77.92,2022-11-07
Sage,Ratke,AB994961C,Enhanced lifetime allowance,15135292,934.08,2022-11-03
Antwon,Pouros,AB867205C,Enhanced protection,24449879,339.76,2022-11-08
Jarod,Goodwin,AB833593C,Fixed protection 2016,88813635,689.80,2022-11-01
Alexzander,Greenholt,AB571849C,Enhanced protection,37697218,359.93,2022-11-05
Maggie,Hahn,AB343935C,Individual protection 2016,13420441,680.49,2022-11-04
Adaline,Prohaska,AB220580C,Fixed protection 2016,47095292,474.64,2022-11-05
Asia,Kassulke,AB705084C,Enhanced lifetime allowance,56284081,105.62,2022-11-02
Korey,Heathcote,AB896567C,Fixed protection,13229680,918.89,2022-11-07
Delaney,Mueller,AB174262C,Individual protection 2014,62389697,643.74,2022-11-05
Kyler,Boyle,AB176246C,Fixed protection 2016,37879058,148.99,2022-11-08
Cecilia,Skiles,AB518508C,Fixed protection,62517482,53.78,2022-11-06
Alexie,Kub,AB481628C,Enhanced lifetime allowance,77476557,385.17,2022-11-08
Mikayla,Dickens,AB655758C,Fixed protection,58619417,354.80,2022-11-07
Pearl,Metz,AB462723C,Fixed protection 2014,57216153,792.52,2022-11-01
Ignatius,Wuckert,AB837818C,Fixed protection,62666508,404.62,2022-11-08
Georgiana,Ritchie,AB941763C,Fixed protection 2016,44441413,57.30,2022-11-04
Aglae,Ledner,AB417285C,Fixed protection,21233005,315.02,2022-11-07
Renee,Konopelski,AB918757C,Fixed protection 2014,10367112,303.26,2022-11-01
Abdul,Mayer,AB325582C,Enhanced protection,57829527,32.57,2022-11-06
Carlo,Parker,AB502617C,Fixed protection 2016,71373051,96.41,2022-11-06
Ernest,Stiedemann,AB585791C,Fixed protection 2014,32578703,678.53,2022-11-07
Katheryn,Witting,AB994288C,Individual protection 2016,18246336,458.05,2022-11-02
Hermina,Langosh,AB398224C,Enhanced protection,35325436,430.39,2022-11-04
Jenifer,Orn,AB459313C,Fixed protection,86303665,858.09,2022-11-06
Aron,Volkman,AB476379C,Fixed protection 2016,51725920,292.51,2022-11-06
Raven,Murphy,AB295790C,Enhanced lifetime allowance,21338527,429.72,2022-11-01
Micah,Weissnat,AB292148C,Individual protection 2016,62169892,892.44,2022-11-01
Lela,Shanahan,AB673799C,Individual protection 2014,60994664,233.09,2022-11-06
Josianne,Krajcik,AB727013C,Fixed protection 2014,69542715,218.00,2022-11-03
Kyleigh,Rohan,AB858749C,Fixed protection 2014,94831967,703.78,2022-11-02
Mariah,Brekke,AB432782C,Enhanced protection,72402120,886.18,2022-11-03
Queenie,Wilderman,AB491335C,Enhanced protection,16579550,751.24,2022-11-08
Rickie,O'Hara,AB980523C,Individual protection 2014,86126572,5.23,2022-11-08
Stephanie,Rutherford,AB651672C,Enhanced lifetime allowance,73263706,607.14,2022-11-06
Cody,Auer,AB335218C,Enhanced lifetime allowance,75113057,223.42,2022-11-03
Sherwood,Spinka,AB583091C,Enhanced lifetime allowance,91053256,797.56,2022-11-08
Gianni,Hartmann,AB343835C,Enhanced protection,55987541,986.36,2022-11-08
Milo,Friesen,AB922703C,Individual protection 2014,17589993,671.46,2022-11-06
Emmitt,Medhurst,AB879320C,Enhanced lifetime allowance,34802162,7.49,2022-11-08
Herminio,Boyer,AB267678C,Individual protection 2016,15217178,549.59,2022-11-06
Hilma,Wyman,AB768606C,Enhanced protection,82593348,332.02,2022-11-08
Christian,Yost,AB576505C,Fixed protection 2014,57111937,690.16,2022-11-04
Ashtyn,Lubowitz,AB748911C,Individual protection 2014,84283046,869.06,2022-11-07
Ezekiel,McKenzie,AB171713C,Fixed protection 2014,89540731,961.72,2022-11-03
Layne,Bartoletti,AB629134C,Fixed protection,94076317,700.87,2022-11-01
Minerva,Gutkowski,AB668539C,Individual protection 2014,27711464,497.53,2022-11-07
Keegan,Orn,AB136826C,Enhanced lifetime allowance,45828375,774.90,2022-11-06
Amari,Morar,AB224058C,Fixed protection 2014,48733843,79.05,2022-11-08
Lilian,Watsica,AB169945C,Enhanced lifetime allowance,22985434,367.72,2022-11-02
Davon,Conn,AB208394C,Fixed protection,59671668,77.17,2022-11-04
Marcia,Schneider,AB411379C,Individual protection 2016,32183121,875.40,2022-11-08
Zackary,Kling,AB944865C,Fixed protection 2014,38964744,682.79,2022-11-01
Kip,Barrows,AB585155C,Individual protection 2016,63356545,889.74,2022-11-01
Sylvia,Langworth,AB630715C,Individual protection 2016,98448095,203.96,2022-11-06
Josiane,Toy,AB402712C,Individual protection 2016,73647056,187.76,2022-11-08
Retha,Zieme,AB473123C,Fixed protection 2014,62478891,595.79,2022-11-08
Novella,Lowe,AB654261C,Individual protection 2016,61175743,152.07,2022-11-05
Bradford,Wiegand,AB530355C,Individual protection 2014,17851265,996.36,2022-11-01
Ali,Krajcik,AB952373C,Fixed protection,47335969,300.92,2022-11-05
Kieran,Orn,AB180573C,Fixed protection 2016,61822814,497.48,2022-11-02
Quentin,Erdman,AB418398C,Individual protection 2016,62681091,463.23,2022-11-07
Santino,Jakubowski,AB588351C,Fixed protection 2016,16852307,320.62,2022-11-03
Leonard,Bode,AB475884C,Individual protection 2014,57939937,683.70,2022-11-05
Pedro,Bergstrom,AB667696C,Fixed protection 2016,76902767,715.55,2022-11-08
Noemy,Terry,AB977410C,Fixed protection 2016,44335844,834.73,2022-11-05
Ned,Dickinson,AB579983C,Individual protection 2016,89745009,288.48,2022-11-02
Berry,Krajcik,AB579692C,Individual protection 2014,67133270,979.31,2022-11-05
Brigitte,Hills,AB473441C,Individual protection 2014,80859419,442.06,2022-11-01
Aliza,Parisian,AB805933C,Fixed protection,33276685,580.64,2022-11-01
Deanna,Fritsch,AB781719C,Fixed protection,56237848,488.23,2022-11-04
Afton,Olson,AB880563C,Individual protection 2014,66211036,666.95,2022-11-03
Tamara,Dietrich,AB592487C,Individual protection 2016,98868074,467.64,2022-11-07
Mitchel,Wunsch,AB390369C,Individual protection 2014,47991663,772.28,2022-11-06
Domenica,Welch,AB753969C,Enhanced lifetime allowance,46755897,731.41,2022-11-03
Maiya,Herman,AB340223C,Individual protection 2014,39459712,653.38,2022-11-05
Elody,Turcotte,AB438114C,Individual protection 2014,56672968,928.07,2022-11-05
Madelyn,Spencer,AB273738C,Individual protection 2014,55817799,45.18,2022-11-06
Cristobal,Kulas,AB733198C,Individual protection 2014,64946841,836.47,2022-11-06
Eli,Schneider,AB448562C,Fixed protection 2016,31870632,292.23,2022-11-07
Jerrell,Koch,AB130483C,Fixed protection,82861217,259.29,2022-11-05
Simeon,McKenzie,AB738656C,Individual protection 2016,34342826,527.32,2022-11-08
Hallie,Carroll,AB399908C,Individual protection 2014,77199867,852.48,2022-11-03
Concepcion,Becker,AB860635C,Fixed protection,24105573,937.93,2022-11-08
Ewald,Goldner,AB392615C,Fixed protection 2014,53081335,135.41,2022-11-06
Vicky,Krajcik,AB273458C,Enhanced lifetime allowance,28596525,445.84,2022-11-02
Brendon,Jones,AB344448C,Enhanced lifetime allowance,79659063,684.50,2022-11-02
Laisha,Kuphal,AB459478C,Fixed protection 2014,72452847,152.39,2022-11-02
Randal,Kessler,AB319820C,Individual protection 2014,80602886,821.86,2022-11-05
Gustave,Koepp,AB295193C,Fixed protection 2014,44872762,849.90,2022-11-07
Lucile,Hessel,AB172172C,Enhanced lifetime allowance,20954562,321.84,2022-11-08
Louvenia,Hettinger,AB159696C,Fixed protection 2014,43198609,214.80,2022-11-01
Fannie,Wilderman,AB381526C,Enhanced protection,44679615,356.53,2022-11-05
Creola,Schaden,AB577676C,Fixed protection 2014,48418985,836.64,2022-11-05
Syble,Schmidt,AB285998C,Individual protection 2014,56471997,918.50,2022-11-07
Vivien,Bernier,AB673550C,Fixed protection 2014,73377354,93.05,2022-11-04
Abelardo,Price,AB244618C,Fixed protection 2014,17782069,313.50,2022-11-07
Anya,Kohler,AB263768C,Fixed protection 2016,65232970,223.70,2022-11-07
Dianna,Harvey,AB950739C,Enhanced protection,25925488,575.34,2022-11-07
Elmer,Lockman,AB815487C,Individual protection 2016,51035301,206.31,2022-11-06
Jaida,Feeney,AB120628C,Individual protection 2014,84204968,381.95,2022-11-05
Paul,Herman,AB940341C,Individual protection 2016,32238879,120.98,2022-11-01
Tyrique,Langworth,AB396682C,Fixed protection 2016,40348812,750.32,2022-11-01
Ricky,Kirlin,AB877070C,Individual protection 2014,83336146,207.43,2022-11-06
Dovie,Fisher,AB471488C,Fixed protection,96595781,298.56,2022-11-03
Armani,Skiles,AB140395C,Individual protection 2014,48818354,166.34,2022-11-04
Margot,Gibson,AB285647C,Fixed protection,18328595,316.90,2022-11-02
Karen,Effertz,AB124310C,Fixed protection,42155618,457.34,2022-11-04
Donnell,Roob,AB266203C,Individual protection 2016,91446688,961.47,2022-11-08
Hannah,Becker,AB128907C,Fixed protection 2016,74431717,838.46,2022-11-03
Axel,Fay,AB175393C,Individual protection 2014,69287552,861.14,2022-11-07
Bennie,Hand,AB951979C,Fixed protection 2016,98241222,805.96,2022-11-03
Cleta,Lindgren,AB348055C,Fixed protection 2014,15512101,73.24,2022-11-05
Laura,Dicki,AB386016C,Fixed protection 2016,67590019,896.72,2022-11-05
Kip,Strosin,AB341048C,Enhanced lifetime allowance,83226352,278.02,2022-11-06
Candida,Johns,AB841423C,Individual protection 2014,17490762,55.10,2022-11-06
Ryley,O'Kon,AB664907C,Fixed protection 2016,25133882,324.66,2022-11-02
Sadye,Padberg,AB408450C,Fixed protection,95578499,203.72,2022-11-05
Jillian,Nienow,AB176105C,Fixed protection 2016,70496605,514.60,2022-11-05
Ray,Pfannerstill,AB703714C,Enhanced lifetime allowance,30077993,40.33,2022-11-04
Tomas,Emmerich,AB974646C,Fixed protection,89984252,908.32,2022-11-07
Ramon,Little,AB723615C,Fixed protection 2016,84975560,60.06,2022-11-02
Chaya,Kertzmann,AB200160C,Fixed protection 2014,54880176,678.13,2022-11-04
Britney,Harber,AB392834C,Individual protection 2014,29965801,285.52,2022-11-02
Antwan,Maggio,AB116875C,Individual protection 2014,74315206,786.86,2022-11-07
Leanna,Anderson,AB682077C,Fixed protection 2014,29568789,858.18,2022-11-02
London,Schmitt,AB215606C,Individual protection 2016,43474483,232.87,2022-11-03
Madonna,Wolff,AB557816C,Individual protection 2014,95081566,697.58,2022-11-01
Herminia,Kilback,AB497133C,Fixed protection,46305621,435.03,2022-11-04
Danial,Boyle,AB836047C,Enhanced protection,70291185,594.17,2022-11-07
Shayna,Hamill,AB908454C,Individual protection 2016,73750606,687.66,2022-11-05
Flo,Connelly,AB125538C,Individual protection 2016,81960927,197.67,2022-11-03
Caterina,Rodriguez,AB796540C,Enhanced lifetime allowance,52950442,306.31,2022-11-08
Bradford,Wilkinson,AB704020C,Individual protection 2014,97313479,968.16,2022-11-06
Makenzie,Howell,AB169602C,Enhanced protection,59694728,27.58,2022-11-04
Otha,Huels,AB571933C,Enhanced lifetime allowance,13792306,700.16,2022-11-02
Brock,Moore,AB542880C,Individual protection 2014,71435043,319.92,2022-11-08
Willis,Connelly,AB708711C,Individual protection 2016,88510081,874.50,2022-11-02
Concepcion,Haag,AB923332C,Fixed protection,79360567,230.75,2022-11-02
Deangelo,Schneider,AB212370C,Fixed protection 2014,72145679,486.35,2022-11-06
Maegan,Tremblay,AB971405C,Enhanced protection,40928216,762.43,2022-11-05
Burley,Satterfield,AB551227C,Enhanced protection,52016105,731.20,2022-11-04
Cyrus,Hamill,AB136719C,Individual protection 2016,24043829,77.06,2022-11-01
