First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Craig,Reilly,AB476264C,2022 to 2023,594.27
Obie,Schumm,AB893139C,2022 to 2023,456.92
Delpha,Friesen,AB968070C,2022 to 2023,967.64
Martine,Bode,AB871164C,2022 to 2023,3.14
Terrance,Parker,AB695219C,2022 to 2023,187.16
Sylvester,Padberg,AB630429C,2022 to 2023,810.66
Lou,Herzog,AB819359C,2022 to 2023,422.63
Rosalyn,Murphy,AB867683C,2022 to 2023,625.85
Lola,Ruecker,AB579427C,2022 to 2023,989.64
Josefa,Nolan,AB942821C,2022 to 2023,955.53
Imani,Runte,AB627040C,2022 to 2023,281.49
Lizzie,Kihn,AB363323C,2022 to 2023,34.23
Carley,Abbott,AB735436C,2022 to 2023,44.46
Colten,Little,AB559824C,2022 to 2023,899.25
Jamal,Schuppe,AB415151C,2022 to 2023,66.24
Jessie,Rau,AB180075C,2022 to 2023,75.82
Jacinthe,Turcotte,AB377760C,2022 to 2023,969.80
Delbert,Adams,AB899619C,2022 to 2023,619.72
Zakary,Pouros,AB310429C,2022 to 2023,513.33
Molly,Medhurst,AB654972C,2022 to 2023,527.88
Adonis,Raynor,AB238352C,2022 to 2023,99.42
Turner,Bartoletti,AB240200C,2022 to 2023,162.99
Isabella,Lemke,AB205712C,2022 to 2023,903.40
Jalen,Jast,AB198351C,2022 to 2023,423.19
Laisha,Schultz,AB643693C,2022 to 2023,881.14
Trisha,Stracke,AB195094C,2022 to 2023,389.51
Ignatius,Kub,AB881075C,2022 to 2023,943.15
Lambert,Medhurst,AB404043C,2022 to 2023,983.19
Raheem,Bauch,AB487045C,2022 to 2023,833.97
Sallie,Wyman,AB741593C,2022 to 2023,216.93
Gaston,Hudson,AB153461C,2022 to 2023,105.20
Claude,Schroeder,AB863930C,2022 to 2023,460.81
Hanna,Durgan,AB972980C,2022 to 2023,930.54
Aaron,Schroeder,AB466527C,2022 to 2023,218.20
Carolanne,Turcotte,AB257930C,2022 to 2023,845.64
Ocie,Muller,AB254837C,2022 to 2023,432.12
Nella,Hartmann,AB173813C,2022 to 2023,951.83
Ofelia,Wilderman,AB685896C,2022 to 2023,234.67
Malinda,Ward,AB608343C,2022 to 2023,410.41
Elinor,Stehr,AB617217C,2022 to 2023,347.88
Maudie,Padberg,AB554288C,2022 to 2023,401.28
Aurelie,Kub,AB571748C,2022 to 2023,154.78
Brice,Fritsch,AB637303C,2022 to 2023,78.58
Geovany,Abernathy,AB403331C,2022 to 2023,100.13
Van,Streich,AB245529C,2022 to 2023,707.27
Darius,Runolfsdottir,AB880997C,2022 to 2023,865.18
Bria,Paucek,AB666751C,2022 to 2023,313.55
Margie,Bergnaum,AB541920C,2022 to 2023,934.34
Giovani,Feil,AB415821C,2022 to 2023,444.33
Colby,Sipes,AB345634C,2022 to 2023,444.67
Maria,Bergnaum,AB945151C,2022 to 2023,413.96
Ricardo,Medhurst,AB807997C,2022 to 2023,75.43
Amari,Sporer,AB319949C,2022 to 2023,277.07
Glenda,Morissette,AB562109C,2022 to 2023,82.10
Brenna,Robel,AB912761C,2022 to 2023,58.28
Emmy,Welch,AB865361C,2022 to 2023,91.43
Gustave,McDermott,AB121369C,2022 to 2023,959.98
Velda,Bechtelar,AB366609C,2022 to 2023,16.45
Wilmer,Brekke,AB608743C,2022 to 2023,426.17
Mozelle,Keebler,AB182972C,2022 to 2023,664.97
Olaf,Effertz,AB857699C,2022 to 2023,933.04
Boris,Weber,AB753079C,2022 to 2023,909.04
Ebony,Crooks,AB683686C,2022 to 2023,908.15
Willa,Gutkowski,AB329405C,2022 to 2023,750.94
Kolby,Donnelly,AB519322C,2022 to 2023,586.31
Kamille,Lueilwitz,AB297548C,2022 to 2023,268.30
Glen,Hauck,AB670556C,2022 to 2023,174.53
Reed,Bauch,AB197097C,2022 to 2023,904.09
Donald,Maggio,AB164002C,2022 to 2023,137.13
Krista,O'Hara,AB951176C,2022 to 2023,415.13
Ayden,Senger,AB408685C,2022 to 2023,579.90
Darrick,McKenzie,AB463937C,2022 to 2023,863.74
Brandon,Jacobi,AB532258C,2022 to 2023,717.52
Ashlynn,O'Connell,AB815787C,2022 to 2023,529.24
Isaac,Rowe,AB432140C,2022 to 2023,723.92
Christy,Goodwin,AB674288C,2022 to 2023,217.57
Gerda,Labadie,AB384804C,2022 to 2023,23.11
Aurore,Flatley,AB312521C,2022 to 2023,123.18
Mariam,Morar,AB762418C,2022 to 2023,356.82
Germaine,Prohaska,AB230371C,2022 to 2023,914.74
Mayra,Kihn,AB541210C,2022 to 2023,277.85
Johnathon,Bergstrom,AB425802C,2022 to 2023,180.69
Shakira,Hansen,AB270024C,2022 to 2023,397.46
Dejon,Kuhn,AB130926C,2022 to 2023,116.38
Rachel,Bayer,AB171360C,2022 to 2023,44.62
Reina,Schoen,AB511615C,2022 to 2023,733.24
Rupert,Cassin,AB657795C,2022 to 2023,23.53
Jaunita,Ondricka,AB966459C,2022 to 2023,96.75
Jacky,Gusikowski,AB131887C,2022 to 2023,421.42
Tristian,Skiles,AB102100C,2022 to 2023,760.92
Jeromy,Mann,AB371155C,2022 to 2023,966.76
Ned,Friesen,AB999402C,2022 to 2023,383.64
Bo,Klein,AB632913C,2022 to 2023,652.31
Brendon,Daugherty,AB520804C,2022 to 2023,833.67
Reina,Champlin,AB910673C,2022 to 2023,874.93
Berneice,Jones,AB629182C,2022 to 2023,220.40
Tyrell,Roob,AB605285C,2022 to 2023,659.42
Bell,Harber,AB813371C,2022 to 2023,597.45
Bonnie,Bailey,AB807934C,2022 to 2023,806.48
Dino,Hartmann,AB822473C,2022 to 2023,269.71
Tessie,Stoltenberg,AB345276C,2022 to 2023,757.78
Madelyn,Shanahan,AB667758C,2022 to 2023,373.86
Elise,Hettinger,AB617351C,2022 to 2023,520.42
Anika,Lueilwitz,AB802470C,2022 to 2023,110.62
Chaim,Zemlak,AB484620C,2022 to 2023,254.29
Freida,Casper,AB170355C,2022 to 2023,941.75
Jeff,Kreiger,AB453768C,2022 to 2023,328.04
Ernestine,Goodwin,AB520209C,2022 to 2023,295.14
Oliver,Osinski,AB508011C,2022 to 2023,830.67
Alberta,Greenfelder,AB259363C,2022 to 2023,91.37
Amelia,Dickinson,AB702284C,2022 to 2023,80.29
Connie,Will,AB769768C,2022 to 2023,145.75
Eldridge,Abbott,AB994667C,2022 to 2023,815.20
Macy,Hegmann,AB539293C,2022 to 2023,115.54
Isac,Hyatt,AB892932C,2022 to 2023,666.74
Haven,Monahan,AB248900C,2022 to 2023,739.70
Sven,Beier,AB638167C,2022 to 2023,517.23
Keith,Kuhlman,AB615187C,2022 to 2023,363.66
Leola,Schaefer,AB438081C,2022 to 2023,436.58
Hildegard,Fay,AB626888C,2022 to 2023,35.32
Vincenza,O'Connell,AB461165C,2022 to 2023,315.73
Clifford,Runte,AB932205C,2022 to 2023,223.38
Kristofer,Jewess,AB861275C,2022 to 2023,21.69
Luna,Ruecker,AB691632C,2022 to 2023,32.90
Marielle,Klein,AB640493C,2022 to 2023,495.94
Damon,Goyette,AB613110C,2022 to 2023,217.74
Carleton,Murray,AB456194C,2022 to 2023,260.88
Ethyl,Wilkinson,AB681765C,2022 to 2023,3.32
Marcelo,Ernser,AB360447C,2022 to 2023,47.31
Katrina,Kuphal,AB893146C,2022 to 2023,692.72
Guy,Ondricka,AB720553C,2022 to 2023,13.99
Marilyne,Gutkowski,AB933673C,2022 to 2023,283.00
Yvonne,Fisher,AB870815C,2022 to 2023,805.13
Coy,Willms,AB285542C,2022 to 2023,623.44
Elbert,Kilback,AB570253C,2022 to 2023,334.56
Lulu,Fadel,AB523808C,2022 to 2023,114.86
Raheem,West,AB741564C,2022 to 2023,920.80
Layla,Lowe,AB589161C,2022 to 2023,473.58
Wilma,Murazik,AB847732C,2022 to 2023,799.67
Gregoria,Schmidt,AB693894C,2022 to 2023,369.16
Flavio,Dietrich,AB287210C,2022 to 2023,493.68
Tod,Thompson,AB248476C,2022 to 2023,113.96
Randal,Hand,AB713154C,2022 to 2023,425.24
Richard,Flatley,AB592108C,2022 to 2023,401.67
Joanie,Kuhic,AB506245C,2022 to 2023,244.31
Christy,Turcotte,AB481407C,2022 to 2023,983.95
Rocio,Gerlach,AB125285C,2022 to 2023,63.05
Margret,Goyette,AB933652C,2022 to 2023,436.54
Brooks,Schaefer,AB682007C,2022 to 2023,280.99
Elvis,Bednar,AB988620C,2022 to 2023,142.27
Isaac,Hickle,AB254597C,2022 to 2023,807.39
Cicero,Paucek,AB254112C,2022 to 2023,172.99
Nakia,Mosciski,AB114855C,2022 to 2023,530.33
Violet,Ruecker,AB386906C,2022 to 2023,535.22
Edwin,Greenfelder,AB201934C,2022 to 2023,37.36
Trisha,McDermott,AB992655C,2022 to 2023,908.47
Sincere,Cassin,AB515549C,2022 to 2023,953.06
Leif,Stiedemann,AB367120C,2022 to 2023,451.58
Justus,Kemmer,AB932733C,2022 to 2023,530.21
Augustus,Heathcote,AB196915C,2022 to 2023,336.15
Krista,Durgan,AB766426C,2022 to 2023,730.92
Cyril,Mohr,AB868259C,2022 to 2023,147.29
Garrick,Erdman,AB225471C,2022 to 2023,356.52
Myah,O'Connell,AB697584C,2022 to 2023,564.58
Adela,Hudson,AB336781C,2022 to 2023,668.34
Neva,Denesik,AB155523C,2022 to 2023,924.54
Perry,Okuneva,AB394014C,2022 to 2023,854.90
Uriel,Crooks,AB567959C,2022 to 2023,512.35
Matteo,Mraz,AB903385C,2022 to 2023,853.28
Angus,Langosh,AB497118C,2022 to 2023,216.28
Lindsay,Ward,AB356685C,2022 to 2023,766.04
Cassidy,Brekke,AB187121C,2022 to 2023,704.48
Tobin,Considine,AB395225C,2022 to 2023,691.73
Naomi,Baumbach,AB976016C,2022 to 2023,739.09
Rosetta,Yost,AB881421C,2022 to 2023,169.08
Mitchell,Koelpin,AB240343C,2022 to 2023,748.95
Estefania,Koss,AB958015C,2022 to 2023,850.14
Kasandra,Schuster,AB533336C,2022 to 2023,31.26
Meggie,Price,AB796564C,2022 to 2023,611.08
Leon,Skiles,AB509217C,2022 to 2023,711.08
Faustino,Rutherford,AB163942C,2022 to 2023,750.10
Gustave,O'Hara,AB595311C,2022 to 2023,539.60
Javon,Keebler,AB589455C,2022 to 2023,404.01
Teresa,Roberts,AB659773C,2022 to 2023,96.69
Charity,Hoppe,AB700171C,2022 to 2023,858.14
Nat,Schiller,AB346043C,2022 to 2023,56.62
Gregg,Olson,AB426598C,2022 to 2023,763.67
Viviane,Wolf,AB158643C,2022 to 2023,311.96
Sonny,VonRueden,AB847211C,2022 to 2023,281.85
Lenna,Schoen,AB321691C,2022 to 2023,566.62
Akeem,Mayert,AB585997C,2022 to 2023,851.83
Bailey,Ferry,AB235024C,2022 to 2023,679.98
Shayna,Streich,AB259380C,2022 to 2023,890.96
Charity,Bernhard,AB635991C,2022 to 2023,154.88
Mitchell,Cruickshank,AB315663C,2022 to 2023,32.37
Johnpaul,Mayert,AB908706C,2022 to 2023,1.09
Alison,Schiller,AB460810C,2022 to 2023,10.01
Darrel,Moore,AB596790C,2022 to 2023,161.73
Lonny,Legros,AB823330C,2022 to 2023,689.11
Ara,Roberts,AB573115C,2022 to 2023,3.21
Bethany,Rau,AB884843C,2022 to 2023,874.87
Sidney,Wyman,AB691267C,2022 to 2023,333.86
Rosemary,Grant,AB554610C,2022 to 2023,740.38
Roscoe,Kuhn,AB676834C,2022 to 2023,846.46
Reynold,Macejkovic,AB782460C,2022 to 2023,187.68
Bradley,Russel,AB227626C,2022 to 2023,92.39
Aimee,Hodkiewicz,AB336171C,2022 to 2023,283.68
Avery,Rempel,AB985814C,2022 to 2023,415.82
Anthony,Reynolds,AB242059C,2022 to 2023,188.09
Monica,Gottlieb,AB294313C,2022 to 2023,749.69
Hans,Flatley,AB994937C,2022 to 2023,715.88
Raphael,Wiegand,AB659422C,2022 to 2023,234.94
Lavinia,Fritsch,AB289553C,2022 to 2023,683.77
Jedediah,Rodriguez,AB814605C,2022 to 2023,517.32
Marjorie,Bergnaum,AB520115C,2022 to 2023,25.99
Grover,Reichel,AB391064C,2022 to 2023,576.49
Adrien,Davis,AB355973C,2022 to 2023,942.22
Toni,Towne,AB870916C,2022 to 2023,224.47
Maiya,Mayert,AB366065C,2022 to 2023,839.36
Lempi,Robel,AB900010C,2022 to 2023,74.73
Ima,Gibson,AB995612C,2022 to 2023,511.53
Rolando,Leuschke,AB688442C,2022 to 2023,932.76
Jordi,Mayert,AB139479C,2022 to 2023,822.01
Pamela,Batz,AB912598C,2022 to 2023,844.41
Matt,Aufderhar,AB165718C,2022 to 2023,48.61
Felton,Kris,AB771039C,2022 to 2023,395.38
Charlie,Howe,AB929808C,2022 to 2023,692.42
Brenna,Schuster,AB724261C,2022 to 2023,322.85
Else,Borer,AB959761C,2022 to 2023,55.09
David,Rutherford,AB230026C,2022 to 2023,499.70
Jennings,Thiel,AB779575C,2022 to 2023,335.51
Martin,Schuster,AB579913C,2022 to 2023,674.08
Moshe,Bayer,AB226214C,2022 to 2023,583.73
Bonnie,Oberbrunner,AB309452C,2022 to 2023,57.66
Jake,Schmitt,AB571342C,2022 to 2023,99.41
Naomi,Mosciski,AB165362C,2022 to 2023,85.83
Elmer,Denesik,AB613712C,2022 to 2023,487.34
Joan,O'Connell,AB954957C,2022 to 2023,65.36
Bo,Lubowitz,AB700869C,2022 to 2023,654.97
Elaina,Zboncak,AB556961C,2022 to 2023,473.91
Nolan,Gaylord,AB144779C,2022 to 2023,101.48
Robin,Dach,AB645799C,2022 to 2023,729.95
Florine,Rippin,AB170288C,2022 to 2023,301.12
Jeanne,Wisoky,AB733896C,2022 to 2023,330.58
Queenie,Witting,AB726280C,2022 to 2023,819.01
Karina,Smitham,AB740521C,2022 to 2023,655.16
Braeden,Schulist,AB163448C,2022 to 2023,709.22
Garnett,Prosacco,AB857416C,2022 to 2023,993.72
Leland,Cremin,AB529714C,2022 to 2023,976.07
Rosemarie,Murphy,AB108886C,2022 to 2023,969.45
Emmy,Bahringer,AB143698C,2022 to 2023,159.11
Rosendo,Stoltenberg,AB339323C,2022 to 2023,949.36
D'angelo,Gutkowski,AB566843C,2022 to 2023,791.37
Marvin,Lynch,AB841664C,2022 to 2023,554.96
Marisa,Graham,AB469810C,2022 to 2023,6.81
Layla,Murphy,AB785721C,2022 to 2023,136.02
Jacynthe,Ebert,AB411495C,2022 to 2023,755.85
Alek,Harber,AB775075C,2022 to 2023,73.31
Nathan,Luettgen,AB770798C,2022 to 2023,79.14
Samson,Klocko,AB227872C,2022 to 2023,632.05
Dulce,Runolfsson,AB968935C,2022 to 2023,33.40
Hailie,Dare,AB681221C,2022 to 2023,786.63
Khalid,Schuster,AB895522C,2022 to 2023,819.72
Olin,Legros,AB691280C,2022 to 2023,692.43
Cortney,Parisian,AB417767C,2022 to 2023,23.79
Melisa,Osinski,AB276779C,2022 to 2023,581.84
Caitlyn,Dooley,AB792309C,2022 to 2023,642.10
Donnie,Schaefer,AB129432C,2022 to 2023,241.40
Easter,Stamm,AB633312C,2022 to 2023,55.29
Kianna,Murphy,AB174716C,2022 to 2023,586.24
Ola,Cole,AB153061C,2022 to 2023,904.04
Alta,Wunsch,AB238160C,2022 to 2023,389.89
Kurtis,Collier,AB997598C,2022 to 2023,686.65
Kaci,Strosin,AB182264C,2022 to 2023,450.58
Coralie,Schaefer,AB179942C,2022 to 2023,860.31
Thea,Gerlach,AB268171C,2022 to 2023,585.33
Chaz,Schroeder,AB166107C,2022 to 2023,968.78
Faye,Prohaska,AB683942C,2022 to 2023,9.26
Junius,Goldner,AB516992C,2022 to 2023,22.31
Nick,Volkman,AB926767C,2022 to 2023,596.61
Irving,Simonis,AB796051C,2022 to 2023,920.27
Lyla,Bahringer,AB502877C,2022 to 2023,115.78
Laura,Smitham,AB954758C,2022 to 2023,726.81
Domenick,Hyatt,AB851774C,2022 to 2023,213.10
Keith,Ryan,AB198326C,2022 to 2023,505.47
Cristian,Ankunding,AB509770C,2022 to 2023,912.89
Domingo,Lindgren,AB572244C,2022 to 2023,628.90
Coty,Kuhn,AB772717C,2022 to 2023,345.62
Nelle,Schmidt,AB565116C,2022 to 2023,340.06
Maximus,Rippin,AB224428C,2022 to 2023,745.49
Shyanne,Quitzon,AB127153C,2022 to 2023,304.56
Joesph,Powlowski,AB124177C,2022 to 2023,78.67
Johnathan,Kulas,AB868832C,2022 to 2023,182.82
Rene,Davis,AB444056C,2022 to 2023,582.35
Brad,Schmitt,AB160797C,2022 to 2023,124.25
Erling,Wyman,AB652639C,2022 to 2023,310.16
Dedrick,Daniel,AB348480C,2022 to 2023,960.93
Rick,Hermann,AB822933C,2022 to 2023,423.20
Rosario,O'Keefe,AB827461C,2022 to 2023,630.61
Selena,Schowalter,AB214001C,2022 to 2023,659.81
Jayne,Jones,AB910756C,2022 to 2023,872.04
Kelly,Osinski,AB997388C,2022 to 2023,815.75
Caesar,Schulist,AB958485C,2022 to 2023,313.60
Austin,Gulgowski,AB597529C,2022 to 2023,948.95
Amie,Effertz,AB948036C,2022 to 2023,372.06
Rosendo,Doyle,AB203190C,2022 to 2023,750.87
Winifred,Witting,AB349913C,2022 to 2023,173.63
Shanie,Rogahn,AB161640C,2022 to 2023,417.95
Lavina,Walker,AB522103C,2022 to 2023,478.01
Daniela,Jaskolski,AB468585C,2022 to 2023,5.93
Derek,Schultz,AB135668C,2022 to 2023,74.21
Moshe,Feil,AB185972C,2022 to 2023,956.86
Brycen,Lang,AB233237C,2022 to 2023,248.15
Laila,Lubowitz,AB997139C,2022 to 2023,129.69
Jamey,Brekke,AB882151C,2022 to 2023,674.28
Eve,Brekke,AB371121C,2022 to 2023,169.50
Hudson,Ebert,AB497344C,2022 to 2023,182.70
Sherman,Grady,AB803214C,2022 to 2023,209.01
Ottis,Gerlach,AB684515C,2022 to 2023,949.59
Kristoffer,Heaney,AB421994C,2022 to 2023,455.84
Valentine,Kozey,AB554787C,2022 to 2023,426.62
Eunice,Beier,AB973114C,2022 to 2023,370.44
Arlene,Mayert,AB645433C,2022 to 2023,59.54
Michel,Bartoletti,AB851717C,2022 to 2023,32.93
Willa,Monahan,AB415229C,2022 to 2023,524.49
Monica,Waelchi,AB131339C,2022 to 2023,48.87
Ervin,Sipes,AB335263C,2022 to 2023,581.23
Sandrine,Graham,AB535023C,2022 to 2023,72.62
Isabel,Fritsch,AB623219C,2022 to 2023,428.82
Lee,Waelchi,AB662619C,2022 to 2023,972.40
Aletha,Russel,AB577476C,2022 to 2023,236.42
Nia,Wehner,AB101623C,2022 to 2023,764.05
Taurean,Mayer,AB770809C,2022 to 2023,124.25
Jason,Williamson,AB184704C,2022 to 2023,445.98
Laisha,Wiza,AB450904C,2022 to 2023,497.20
Milton,Zemlak,AB214860C,2022 to 2023,881.49
Casey,Kiehn,AB941348C,2022 to 2023,165.02
Roscoe,Brakus,AB216038C,2022 to 2023,392.37
Kiley,Hoppe,AB612236C,2022 to 2023,153.97
Rebeca,Crist,AB906065C,2022 to 2023,441.02
Efren,Volkman,AB489372C,2022 to 2023,143.96
Dalton,Casper,AB714299C,2022 to 2023,452.91
Lonzo,Smitham,AB438380C,2022 to 2023,849.24
Noble,Parisian,AB152073C,2022 to 2023,344.26
Demarco,Jaskolski,AB535462C,2022 to 2023,99.14
Chasity,White,AB987903C,2022 to 2023,888.16
Haley,Nader,AB650651C,2022 to 2023,4.46
Catalina,Kub,AB901065C,2022 to 2023,725.88
Jayce,Klocko,AB120509C,2022 to 2023,354.89
Norbert,Windler,AB523900C,2022 to 2023,156.65
Kara,Kutch,AB186433C,2022 to 2023,806.44
Gene,Paucek,AB276203C,2022 to 2023,198.76
Dudley,Waters,AB785295C,2022 to 2023,665.80
Zelma,Windler,AB794538C,2022 to 2023,262.42
Martina,Runolfsdottir,AB627093C,2022 to 2023,777.27
Candace,Skiles,AB704549C,2022 to 2023,11.47
Cornell,Pouros,AB174371C,2022 to 2023,408.38
Lesly,Hermiston,AB708980C,2022 to 2023,199.56
Lamar,Waters,AB988547C,2022 to 2023,329.31
Felton,Torphy,AB807493C,2022 to 2023,455.03
Lenore,Schneider,AB928396C,2022 to 2023,977.86
Max,Predovic,AB255099C,2022 to 2023,215.30
Raheem,Kuphal,AB827742C,2022 to 2023,61.57
Jude,Lang,AB332967C,2022 to 2023,421.23
Destiny,Heaney,AB415834C,2022 to 2023,214.40
Makenzie,Lind,AB755523C,2022 to 2023,801.20
Betsy,Hahn,AB604146C,2022 to 2023,842.57
Ashton,Sanford,AB550648C,2022 to 2023,880.65
Finn,Haley,AB923968C,2022 to 2023,751.60
Marques,Kirlin,AB590176C,2022 to 2023,685.11
Alyce,Emmerich,AB261806C,2022 to 2023,18.12
Johnathan,Littel,AB943889C,2022 to 2023,794.12
Izaiah,Rogahn,AB784642C,2022 to 2023,484.05
Cathrine,Crist,AB998809C,2022 to 2023,763.72
Magnolia,Weissnat,AB364321C,2022 to 2023,554.06
Garett,Hauck,AB944484C,2022 to 2023,705.96
Janie,Flatley,AB322557C,2022 to 2023,812.72
Michael,O'Reilly,AB461368C,2022 to 2023,864.12
Hobart,Murray,AB974752C,2022 to 2023,897.68
Judd,Herzog,AB520725C,2022 to 2023,956.13
Neil,Herzog,AB339322C,2022 to 2023,625.43
Ulises,Koch,AB484392C,2022 to 2023,562.17
Ayden,Feil,AB294537C,2022 to 2023,538.58
Erna,Nikolaus,AB331855C,2022 to 2023,625.56
Darius,Adams,AB997702C,2022 to 2023,806.95
Eloy,Pfeffer,AB316639C,2022 to 2023,422.14
Eldon,Bergnaum,AB358443C,2022 to 2023,864.38
Angel,Price,AB494604C,2022 to 2023,412.73
Elvera,Maggio,AB284432C,2022 to 2023,145.93
Murray,Harber,AB708083C,2022 to 2023,547.50
Caleb,Smitham,AB895427C,2022 to 2023,397.60
Jared,Jacobson,AB387993C,2022 to 2023,161.22
Rosella,Kunde,AB615582C,2022 to 2023,450.57
Deonte,Veum,AB959817C,2022 to 2023,866.34
Jacey,Hickle,AB230477C,2022 to 2023,747.98
Noe,Koss,AB307606C,2022 to 2023,602.67
Liam,Cartwright,AB189047C,2022 to 2023,45.73
Davin,O'Keefe,AB112451C,2022 to 2023,823.55
Dorthy,Halvorson,AB414109C,2022 to 2023,945.85
Jody,Berge,AB230880C,2022 to 2023,732.86
Santa,Douglas,AB561593C,2022 to 2023,292.45
Ashley,Bosco,AB511493C,2022 to 2023,45.58
Georgiana,Homenick,AB272652C,2022 to 2023,103.04
Aileen,Sawayn,AB282060C,2022 to 2023,180.73
Consuelo,Spinka,AB666310C,2022 to 2023,50.69
Antonia,Kutch,AB444678C,2022 to 2023,705.21
Ayana,Dare,AB294443C,2022 to 2023,205.56
Isai,Swaniawski,AB474125C,2022 to 2023,468.61
Dahlia,Ritchie,AB977633C,2022 to 2023,892.98
Charlotte,Trantow,AB614587C,2022 to 2023,789.23
Allie,Schamberger,AB612960C,2022 to 2023,603.11
Fiona,Walsh,AB745257C,2022 to 2023,543.54
Grayson,Herman,AB773393C,2022 to 2023,998.08
Alexandria,O'Keefe,AB266991C,2022 to 2023,806.45
Ambrose,Emard,AB903460C,2022 to 2023,561.38
Garret,Leuschke,AB480735C,2022 to 2023,626.79
Francisca,Kuhn,AB137061C,2022 to 2023,623.11
Gail,Veum,AB342592C,2022 to 2023,167.35
Emmitt,Will,AB903436C,2022 to 2023,760.89
Mariela,Kreiger,AB696680C,2022 to 2023,281.89
Seamus,Sawayn,AB527362C,2022 to 2023,240.16
Velma,Nader,AB565565C,2022 to 2023,578.26
Loyce,Padberg,AB138563C,2022 to 2023,276.04
Pauline,Goldner,AB448771C,2022 to 2023,703.51
Brayan,Becker,AB525930C,2022 to 2023,387.82
Eileen,Kihn,AB876423C,2022 to 2023,78.17
Oda,McLaughlin,AB585780C,2022 to 2023,713.10
Fermin,Rowe,AB486252C,2022 to 2023,417.38
Brando,Walker,AB503976C,2022 to 2023,470.52
Herminio,Quitzon,AB572868C,2022 to 2023,18.37
Sheila,Mayert,AB795758C,2022 to 2023,734.23
Lacey,Miller,AB360997C,2022 to 2023,646.08
Xzavier,Abernathy,AB946671C,2022 to 2023,216.28
April,Boyer,AB615096C,2022 to 2023,550.16
Leo,Thompson,AB768728C,2022 to 2023,434.57
Kim,Boehm,AB262340C,2022 to 2023,282.68
Jack,Daniel,AB681726C,2022 to 2023,714.68
Trent,McDermott,AB151922C,2022 to 2023,84.84
Herminia,Bradtke,AB910470C,2022 to 2023,149.39
Norene,Pagac,AB548412C,2022 to 2023,210.83
Ashlee,Emard,AB419783C,2022 to 2023,247.65
Aimee,Batz,AB423674C,2022 to 2023,795.01
Alison,Smitham,AB794369C,2022 to 2023,269.10
Kyler,Kovacek,AB430635C,2022 to 2023,185.03
Elody,Gerhold,AB212512C,2022 to 2023,897.79
Rashawn,Kreiger,AB900120C,2022 to 2023,33.33
Milan,Weber,AB792796C,2022 to 2023,781.77
Dewayne,Murazik,AB878020C,2022 to 2023,34.92
Jakayla,Glover,AB553561C,2022 to 2023,430.98
Jarrell,Kihn,AB261928C,2022 to 2023,694.89
Liam,Graham,AB514540C,2022 to 2023,187.63
Junius,Towne,AB994674C,2022 to 2023,977.40
Otha,Witting,AB228011C,2022 to 2023,391.39
Hudson,Conroy,AB812684C,2022 to 2023,347.22
Jeanne,Kassulke,AB531285C,2022 to 2023,59.13
Prudence,Predovic,AB879986C,2022 to 2023,880.60
Braxton,Treutel,AB817590C,2022 to 2023,169.59
Evert,Labadie,AB944804C,2022 to 2023,92.32
Gage,Donnelly,AB911574C,2022 to 2023,294.23
Raegan,Moen,AB141474C,2022 to 2023,830.56
Jamir,Champlin,AB477298C,2022 to 2023,398.01
Ola,Reichel,AB234264C,2022 to 2023,429.05
Magdalena,Kris,AB786368C,2022 to 2023,811.59
Maverick,Wisozk,AB267600C,2022 to 2023,252.73
Caroline,Green,AB881024C,2022 to 2023,846.97
Mitchel,Parisian,AB293407C,2022 to 2023,59.55
Daniella,Haley,AB391392C,2022 to 2023,395.53
Elouise,Schamberger,AB947594C,2022 to 2023,29.82
Kurt,Crist,AB277477C,2022 to 2023,843.51
Soledad,Klocko,AB273177C,2022 to 2023,411.67
Clarissa,Kozey,AB170138C,2022 to 2023,742.79
Winnifred,Schuster,AB819742C,2022 to 2023,152.01
Celestine,Jacobs,AB242130C,2022 to 2023,247.66
Ozella,Watsica,AB210099C,2022 to 2023,671.26
Dayton,Simonis,AB848806C,2022 to 2023,38.55
Enoch,Witting,AB282996C,2022 to 2023,887.63
Tracy,Schoen,AB938898C,2022 to 2023,745.21
Izabella,Parker,AB966942C,2022 to 2023,495.38
Clyde,Daniel,AB990255C,2022 to 2023,461.36
Jean,Johnson,AB144609C,2022 to 2023,424.48
Leola,Orn,AB138321C,2022 to 2023,575.07
Dario,Brown,AB918803C,2022 to 2023,317.58
Etha,Jacobs,AB302282C,2022 to 2023,667.12
Lon,Mitchell,AB186757C,2022 to 2023,124.21
Rigoberto,Bode,AB238540C,2022 to 2023,51.89
Rae,Champlin,AB162812C,2022 to 2023,701.64
Caesar,Watsica,AB930698C,2022 to 2023,803.45
Emerald,Douglas,AB822775C,2022 to 2023,695.56
Juliana,Abbott,AB326183C,2022 to 2023,57.65
Bonita,Barton,AB849172C,2022 to 2023,875.58
Payton,Gorczany,AB305801C,2022 to 2023,976.69
Forrest,Grant,AB384135C,2022 to 2023,179.19
Moriah,Dicki,AB878120C,2022 to 2023,929.29
Maritza,Rath,AB723834C,2022 to 2023,151.62
Maryam,Bogan,AB795274C,2022 to 2023,781.38
Gerard,Erdman,AB286666C,2022 to 2023,847.12
